Station,GeologicalUnit,ItalianDescription,EnglishDescription,Period
Abbadia S. Salvatore,SIL,Argilliti grigio-brune e calcilutiti,Gray-brown clay and calcilutite,UPPER CRETACE - PALEOCENE
Fabbriche di Vallico,STO3,Membro delle Calcareniti di Montegrossi,Member of the Calcarenites of Montegrossi,LOWER CRETACE? - PALEOGEN
Il Palagio,MAC,"Arenarie quarzoso-feldspatico-micacee gradate, in strati di potenza variabile, con livelli piu' sottili di siltiti","Graded quartz-feldspar-micaceous sandstones, in layers of varying strength, with finer levels of siltstone",UPPER OLIGOCENE - LOWER MIOCENE
Le Croci (Barberino),AQR2,Membro pelitico-arenaceo,Pelitic-arenaceous member,CHATTIANO - BURDIGALIANO
Abbadia S. S. - Vetta Amiata,BEL2,"Duomo esogeno costituito da lave massive di composizione da trachitica a trachidacitica, di colore variabile da grigio a rosa fino al rosso deciso, fortemente porfiriche, con presenza di megacristalli di K-feldspato","Exogenous dome consisting of massive lavas of composition from trachytic to trachydacytic, varying in color from gray to pink to decisive red, strongly porphyritic, with the presence of megacrystals of K-feldspar",PLEISTOCENE
Marcoiano,AQR1,Membro arenaceo-pelitico,Arenaceous-pelitic member,CHATTIANO - BURDIGALIANO
Mangona,AQR1,Membro arenaceo-pelitico,Arenaceous-pelitic member,CHATTIANO - BURDIGALIANO
S. Fiora,BLP2,"Duomo esogeno costituito da lave massive di composizione trachitica di colore da grigio a rosso, a porfiricita' variabile, con presenza talvolta di megacristalli di K-feldspato.","Exogenous dome consisting of massive lavas of trachyte composition of gray to red color, with variable porphyricity, sometimes with the presence of K-feldspar megacrystals.",PLEISTOCENE
Camaldoli,FAL2,Membro di Camaldoli,Member of Camaldoli,AQUITANIANO - BURDIGALIANO
Consuma,FAL4,siltiti e arenarie,siltstones and sandstones,AQUITANIANO - BURDIGALIANO
Pentolina,VILe,Sabbie e conglomerati,Sands and conglomerates,RUSCINIANO-VILLAFRANCHIANO
Mensano,APA,Argilliti grigie e calcilutiti,Gray clay and calcilutite,LOWER CRETACE
Sovicille,PLIs,Sabbie e arenarie gialle.,Yellow sands and sandstones.,ZANCLEANO - PIACENZIANO
Calavorno,MAC,"Arenarie quarzoso-feldspatico-micacee gradate, in strati di potenza variabile, con livelli piu' sottili di siltiti","Graded quartz-feldspar-micaceous sandstones, in layers of varying strength, with finer levels of siltstone",UPPER OLIGOCENE - LOWER MIOCENE
Laterina,VILh,Limi argilloso-sabbiosi ed argille sabbiose,Clayey-sandy silts and sandy clays,RUSCINIANO-VILLAFRANCHIANO
Monte Serra,QMS2,Quarziti con fitta stratificazione incrociata,Quartzites with dense crossed stratification,CARNICO
Monte S.Savino,VILc,Argille e argille sabbiose lignitifere lacustri e fluvio-lacustri,Lacustrine and fluvio-lacustrine lignitiferous sandy clays and clays,RUSCINIANO-VILLAFRANCHIANO
Croce Arcana,CEV2,Membro del Torrente Fellicarolo. Torbiditi silicoclastiche,Member of the Fellicarolo stream. Siliciclastic turbidity,AQUITANIANO - LANGHIANO
Bibbiena,VILc,Argille e argille sabbiose lignitifere lacustri e fluvio-lacustri,Lacustrine and fluvio-lacustrine lignitiferous sandy clays and clays,RUSCINIANO-VILLAFRANCHIANO
Montalcinello,VILa,Conglomerati e ciottolami poligenici,Polygenic conglomerates and pebbles,RUSCINIANO-VILLAFRANCHIANO
